EXOME_ID	VABC_ID	Infinium_ID	Species	Subspecies	Seed Bank	AccessionID	OtherIDs	Accession Name	Ancestory	Lattitude	Longitude	Elevation	Collection Date	Remarks	Category	History	Released	Country of Origin	State/region	Collection Site	Habitat
ExomeCapture-DAS5-000004	DAS5-000004	WSNP92K.015.01415	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29020/annuello*27	Aus29020 = CROC_1/AE.SQUARROSA (517)	Aus29020/annuello*27	Aus29020/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000007	DAS5-000007	WSNP92K.115.10742	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29020/annuello*39	Aus29020 = CROC_1/AE.SQUARROSA (517)	Aus29020/annuello*39	Aus29020/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000015	DAS5-000015	WSNP92K.013.01186	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29639/yitpi*37	Aus29639 = CETA/AE.SQUARROSA (230)	Aus29639/yitpi*37	Aus29639/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000029	DAS5-000029	WSNP92K.015.01406	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29654/yitpi*7	Aus29654 = 68.111/RGB-U//WARD RESEL/3/STIL/4/AE.SQUARROSA (783)	Aus29654/yitpi*7	Aus29654/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000030	DAS5-000030	WSNP92K.013.01244	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29654/yitpi*9	Aus29654 = 68.111/RGB-U//WARD RESEL/3/STIL/4/AE.SQUARROSA (783)	Aus29654/yitpi*9	Aus29654/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000032	DAS5-000032	WSNP92K.009.00791	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29663/yitpi*16	Aus29663 = CETA/AE.SQUARROSA (895)	Aus29663/yitpi*16	Aus29663/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000035	DAS5-000035	WSNP92K.009.00864	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29663/yitpi*22	Aus29663 = CETA/AE.SQUARROSA (895)	Aus29663/yitpi*22	Aus29663/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000037	DAS5-000037	WSNP92K.013.01239	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29663/yitpi*31	Aus29663 = CETA/AE.SQUARROSA (895)	Aus29663/yitpi*31	Aus29663/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000041	DAS5-000041	WSNP92K.009.00770	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	29681/yitpi*22	Aus29681 = CROC_1/AE.SQUARROSA (436)	Aus29681/yitpi*22	Aus29681/yitpi	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000053	DAS5-000053	WSNP92K.008.00740	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30262/annuello*28	Aus30262 = DOY1/AE.SQUARROSA (333)	Aus30262/annuello*28	Aus30262/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000055	DAS5-000055	WSNP92K.013.01191	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30262/annuello*32	Aus30262 = DOY1/AE.SQUARROSA (333)	Aus30262/annuello*32	Aus30262/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000057	DAS5-000057	WSNP92K.014.01300	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30262/annuello*55	Aus30262 = DOY1/AE.SQUARROSA (333)	Aus30262/annuello*55	Aus30262/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000058	DAS5-000058	WSNP92K.015.01381	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30262/annuello*63	Aus30262 = DOY1/AE.SQUARROSA (333)	Aus30262/annuello*63	Aus30262/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000069	DAS5-000069	WSNP92K.011.00972	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30264/annuello*79	Aus30264 = RASCOE.SQUARROSA (385)	Aus30264/annuello*79	Aus30264/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000071	DAS5-000071	WSNP92K.005.00463	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30265/annuello*19	Aus30265 = FALCIE.SQUARROSA (389)	Aus30265/annuello*19	Aus30265/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000074	DAS5-000074	WSNP92K.010.00910	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30265/annuello*34	Aus30265 = FALCIE.SQUARROSA (389)	Aus30265/annuello*34	Aus30265/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000079	DAS5-000079	WSNP92K.009.00825	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30265/annuello*45	Aus30265 = FALCIE.SQUARROSA (389)	Aus30265/annuello*45	Aus30265/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000091	DAS5-000091	WSNP92K.015.01435	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30268/annuello*10	Aus30268 = GREEE.SQUARROSA (458)	Aus30268/annuello*10	Aus30268/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000094	DAS5-000094	WSNP92K.005.00460	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30268/annuello*25	Aus30268 = GREEE.SQUARROSA (458)	Aus30268/annuello*25	Aus30268/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000102	DAS5-000102	WSNP92K.005.00425	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30269/annuello*13	Aus30269 = LARU/AE.SQUARROSA (507)	Aus30269/annuello*13	Aus30269/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000110	DAS5-000110	WSNP92K.011.00964	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30269/annuello*84	Aus30269 = LARU/AE.SQUARROSA (507)	Aus30269/annuello*84	Aus30269/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000117	DAS5-000117	WSNP92K.005.00433	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30271/annuello*5	Aus30271 = GAE.SQUARROSA (163)	Aus30271/annuello*5	Aus30271/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000118	DAS5-000118	WSNP92K.008.00728	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30271/annuello*52	Aus30271 = GAE.SQUARROSA (163)	Aus30271/annuello*52	Aus30271/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000121	DAS5-000121	WSNP92K.012.01110	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30272/annuello*13	Aus30272 = DOY1/AE.SQUARROSA (177)	Aus30272/annuello*13	Aus30272/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000123	DAS5-000123	WSNP92K.013.01172	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30272/annuello*3	Aus30272 = DOY1/AE.SQUARROSA (177)	Aus30272/annuello*3	Aus30272/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000127	DAS5-000127	WSNP92K.011.01035	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30272/annuello*74	Aus30272 = DOY1/AE.SQUARROSA (177)	Aus30272/annuello*74	Aus30272/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000135	DAS5-000135	WSNP92K.009.00783	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30274/annuello*3	Aus30274 = SCA/AE.SQUARROSA (248)	Aus30274/annuello*3	Aus30274/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000140	DAS5-000140	WSNP92K.006.00486	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30274/annuello*76	Aus30274 = SCA/AE.SQUARROSA (248)	Aus30274/annuello*76	Aus30274/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000142	DAS5-000142	WSNP92K.015.01390	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30278/annuello*19	Aus30278 = GAE.SQUARROSA (268)	Aus30278/annuello*19	Aus30278/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000145	DAS5-000145	WSNP92K.014.01250	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30278/annuello*22	Aus30278 = GAE.SQUARROSA (268)	Aus30278/annuello*22	Aus30278/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000146	DAS5-000146	WSNP92K.117.10868	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30278/annuello*23	Aus30278 = GAE.SQUARROSA (268)	Aus30278/annuello*23	Aus30278/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000148	DAS5-000148	WSNP92K.013.01156	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30278/annuello*40	Aus30278 = GAE.SQUARROSA (268)	Aus30278/annuello*40	Aus30278/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000150	DAS5-000150	WSNP92K.014.01263	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30278/annuello*5	Aus30278 = GAE.SQUARROSA (268)	Aus30278/annuello*5	Aus30278/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000154	DAS5-000154	WSNP92K.005.00423	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30282/annuello*37	Aus30282 = DOY1/AE.SQUARROSA (334)	Aus30282/annuello*37	Aus30282/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
ExomeCapture-DAS5-000156	DAS5-000156	WSNP92K.009.00852	Triticum aestivum subsp. aestivum	subsp. aestivum	AVS	30282/annuello*48	Aus30282 = DOY1/AE.SQUARROSA (334)	Aus30282/annuello*48	Aus30282/annuello	.	.	.	.	BC1F4 selection	BRD	CULTIVATED	.	AUSTRALIA	Victoria	.	S
